molecule_chembl_id,canonical_smiles,standard_value,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3648023,CCCCc1ccc(Nc2nnc3cc(-c4cc(OC)cc(OC)c4)cc(C)c3n2)cc1,100000,inactive,428.536,6.10362,1,6,4
CHEMBL154969,CONC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NOC)[nH]c2ccccc12,2900,intermediate,498.63,4.669,4,6,5.537602002
CHEMBL507058,COc1cc(O)c2c(c1)-c1cc(O)c(O)cc1COC2=O,10,active,288.255,2.1494,3,6,8
CHEMBL3401367,COc1cccc(-c2nc3c(O)nc(NC(C)=O)nc3[nH]2)c1OC,9130,intermediate,329.316,1.7011,3,7,5.039529222
CHEMBL3681299,Cc1nc2cc(-n3ncc(C(=O)c4cc5cc(C(C)(C)C)ccc5[nH]4)c3N)ccc2[nH]1,150,active,412.497,4.64902,3,5,6.823908741
CHEMBL179123,CCOc1cc2ncc(C#N)c(Nc3ccc(OCC4CCCCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,285,active,562.114,6.91758,2,7,6.54515514
CHEMBL1095761,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,200,active,463.166,5.9438,3,4,6.698970004
CHEMBL1929553,Cc1ccccc1Cc1cc2c(Nc3ccc(Cl)cc3)nc(N)nc2[nH]1,193200,inactive,363.852,4.83632,3,4,3.713992878
CHEMBL4169257,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc2c(c1)nc(CN(C)C)n2C)c1ccccc1,45.5,active,481.556,4.354,2,7,7.341988603
CHEMBL3916600,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCN(CCCCCCC(=O)NO)CC4)cc3)cc12)c1ccccc1,100,active,555.727,5.3715,4,7,7
CHEMBL3981076,COc1cc(OC)cc(N(CCN2CCN(C(C)=O)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,9.772,active,515.618,3.3497,0,9,8.010016542
CHEMBL389422,Cc1cccc(C)c1Nc1ncc(-c2cccc(OCC3CCCN(C)C3)c2)n2cncc12,19,active,441.579,5.47734,1,6,7.721246399
CHEMBL3941174,COc1cc(OC)cc(N(C/C(=N/O)C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,93.33,active,460.538,4.6718,1,9,7.029978734
CHEMBL3909590,CN(CCO)c1ncc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cc1-c1cncc(F)c1,1,active,466.847,4.1314,2,6,9
CHEMBL263788,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN(C)C,790,active,480.366,4.67748,2,6,6.102372909
CHEMBL3671526,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=C/CN(C)C,16,active,557.424,4.0123,3,7,7.795880017
CHEMBL1958024,COc1ccc(C2CC(c3ccccc3)=NN2C2=NC(=O)CS2)cc1,4270,intermediate,351.431,3.4757,0,5,5.369572125
CHEMBL1242386,CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21,73,active,293.334,2.5327,2,6,7.13667714
CHEMBL3943632,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc(-c2ccc(O)c(C(N)=O)c2)cs1,50,active,568.442,6.1958,3,9,7.301029996
CHEMBL3604912,C=CC(=O)Nc1cccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)c1,1100,intermediate,356.389,3.888,3,5,5.958607315
CHEMBL4250191,COc1ccc(N(C)c2ncnc3occ(C)c23)cc1,15.5,active,269.304,3.30772,0,5,7.809668302
CHEMBL5086749,O=S(=O)(NCCCNc1nccc(-c2c(-c3cccc(O)c3)nc3sccn23)n1)c1cccc(F)c1,10610,inactive,524.603,4.145,3,9,4.974284616
CHEMBL3116050,C[C@H](Nc1nc(Nc2cn(C)cn2)c2cc[nH]c2n1)c1ncc(F)cn1,50,active,353.365,2.5372,3,8,7.301029996
CHEMBL1276890,Cc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(CCN1CCCC1)CC2,4,active,408.477,3.04902,2,3,8.397940009
